"datetime","stream_height_ft","date"
2019-04-27 11:54:59,0.200675675675676,2019-04-27
2019-04-27 14:53:17,0.197972972972973,2019-04-27
2019-04-27 17:55:35,0.19527027027027,2019-04-27
2019-04-27 20:55:54,0.191891891891892,2019-04-27
2019-04-27 23:59:59,0.189189189189189,2019-04-27
2019-04-28 00:00:00,0.189863073162906,2019-04-28
2019-04-28 03:00:45,0.187077352810728,2019-04-28
2019-04-28 06:05:42,0.183612188470213,2019-04-28
2019-04-28 09:00:37,0.180827411790241,2019-04-28
2019-04-28 11:59:35,0.17939208636488,2019-04-28
2019-04-28 15:00:33,0.177280147967802,2019-04-28
2019-04-28 17:57:29,0.175170096915136,2019-04-28
2019-04-28 21:00:28,0.173057214845851,2019-04-28
2019-04-28 23:59:59,0.171622833092697,2019-04-28
2019-04-29 00:00:00,0.172297976712934,2019-04-29
2019-04-29 02:52:49,0.171540536222759,2019-04-29
2019-04-29 05:55:05,0.170103654697353,2019-04-29
2019-04-29 09:03:23,0.168663953914539,2019-04-29
2019-04-29 11:43:11,0.189534916502993,2019-04-29
2019-04-29 14:57:24,0.192146488614899,2019-04-29
2019-04-29 17:55:38,0.193414214695849,2019-04-29
2019-04-29 20:55:52,0.194005318998976,2019-04-29
2019-04-29 23:59:59,0.192569377226039,2019-04-29
2019-04-30 00:00:00,0.191275167785235,2019-04-30
2019-04-30 02:49:51,0.188907262923641,2019-04-30
2019-04-30 05:39:43,0.186539358062048,2019-04-30
2019-04-30 08:29:34,0.184171453200454,2019-04-30
2019-04-30 11:21:19,0.171739952677087,2019-04-30
2019-04-30 14:07:24,0.172720715649107,2019-04-30
2019-04-30 16:59:08,0.171698611098894,2019-04-30
2019-04-30 19:41:27,0.169316632508554,2019-04-30
2019-04-30 22:35:04,0.167626905450931,2019-04-30
2019-04-30 23:59:59,0.167110575527545,2019-04-30
2019-05-01 00:00:00,0.167567567567568,2019-05-01
2019-05-01 01:30:15,0.16697658661447,2019-05-01
2019-05-01 04:30:45,0.164443273356922,2019-05-01
2019-05-01 07:31:15,0.163936987126402,2019-05-01
2019-05-01 10:29:45,0.16275314311526,2019-05-01
2019-05-01 11:13:52,0.163470225099752,2019-05-01
2019-05-01 11:25:54,0.161454490702402,2019-05-01
2019-05-01 13:28:15,0.161569299104118,2019-05-01
2019-05-01 16:28:45,0.161738688549274,2019-05-01
2019-05-01 18:57:10,0.161202288639614,2019-05-01
2019-05-01 19:29:15,0.163935105021456,2019-05-01
2019-05-01 19:59:20,0.166666039298351,2019-05-01
2019-05-01 20:41:27,0.166029887826545,2019-05-01
2019-05-01 21:39:37,0.169462847248363,2019-05-01
2019-05-01 23:59:59,0.17027027027027,2019-05-01
2019-05-02 00:00:00,0.169333333333333,2019-05-02
2019-05-02 01:26:22,0.169333333333333,2019-05-02
2019-05-02 04:29:07,0.168666666666667,2019-05-02
2019-05-02 07:25:51,0.169333333333333,2019-05-02
2019-05-02 08:30:08,0.168666666666667,2019-05-02
2019-05-02 08:54:14,0.172,2019-05-02
2019-05-02 10:26:37,0.172,2019-05-02
2019-05-02 13:29:22,0.172,2019-05-02
2019-05-02 16:28:07,0.172,2019-05-02
2019-05-02 19:28:52,0.172,2019-05-02
2019-05-02 22:31:38,0.172,2019-05-02
2019-05-02 23:59:59,0.170666666666667,2019-05-02
2019-05-03 00:00:00,0.170196828211736,2019-05-03
2019-05-03 01:32:23,0.169621398948895,2019-05-03
2019-05-03 04:31:08,0.166474549031561,2019-05-03
2019-05-03 07:27:52,0.163325851829274,2019-05-03
2019-05-03 08:06:02,0.162698698587751,2019-05-03
2019-05-03 10:32:38,0.162171298733686,2019-05-03
2019-05-03 13:29:22,0.161009356498287,2019-05-03
2019-05-03 16:28:07,0.161173764859098,2019-05-03
2019-05-03 18:04:31,0.159937931225581,2019-05-03
2019-05-03 18:38:40,0.163280593347927,2019-05-03
2019-05-03 19:24:51,0.164647584213103,2019-05-03
2019-05-03 22:27:37,0.16481568714382,2019-05-03
2019-05-03 23:59:59,0.16489696768175,2019-05-03
2019-05-04 00:00:00,0.164428867055687,2019-05-04
2019-05-04 01:31:17,0.163843472100524,2019-05-04
2019-05-04 04:29:16,0.163338242696546,2019-05-04
2019-05-04 07:33:15,0.162167452786219,2019-05-04
2019-05-04 10:29:15,0.162331512518876,2019-05-04
2019-05-04 13:29:13,0.161156993978262,2019-05-04
2019-05-04 16:31:12,0.159984339752792,2019-05-04
2019-05-04 19:29:12,0.160150263800593,2019-05-04
2019-05-04 22:31:12,0.159648763026902,2019-05-04
2019-05-04 23:59:59,0.159730792893231,2019-05-04
2019-05-05 00:00:00,0.160140407086317,2019-05-05
2019-05-05 01:29:11,0.159626837542405,2019-05-05
2019-05-05 04:29:58,0.157939125518281,2019-05-05
2019-05-05 07:28:46,0.155571993969092,2019-05-05
2019-05-05 10:31:33,0.153888051262721,2019-05-05
2019-05-05 13:28:18,0.153544101017716,2019-05-05
2019-05-05 16:27:05,0.151176969468526,2019-05-05
2019-05-05 19:25:53,0.148809837919337,2019-05-05
2019-05-05 22:32:41,0.147809084055786,2019-05-05
2019-05-05 23:59:59,0.146616094986807,2019-05-05
2019-05-06 00:00:00,0.145999573485642,2019-05-06
2019-05-06 01:31:02,0.145291188769691,2019-05-06
2019-05-06 04:01:12,0.143221666929375,2019-05-06
2019-05-06 04:23:03,0.134544881364104,2019-05-06
2019-05-06 05:09:06,0.133190234675617,2019-05-06
2019-05-06 07:29:15,0.131125348860928,2019-05-06
2019-05-06 09:03:22,0.130415109734727,2019-05-06
2019-05-06 09:23:27,0.133739140109966,2019-05-06
2019-05-06 10:31:33,0.133707615135696,2019-05-06
2019-05-06 13:55:50,0.133613040212886,2019-05-06
2019-05-06 14:27:46,0.128264921048483,2019-05-06
2019-05-06 16:25:55,0.127543555460774,2019-05-06
2019-05-06 19:28:08,0.125459198338448,2019-05-06
2019-05-06 22:28:20,0.123375768421248,2019-05-06
2019-05-06 23:59:59,0.122667383705297,2019-05-06
2019-05-07 00:00:00,0.123331548415886,2019-05-07
2019-05-07 01:26:45,0.121373493975904,2019-05-07
2019-05-07 04:18:19,0.11945292280232,2019-05-07
2019-05-07 07:11:48,0.117533244087461,2019-05-07
2019-05-07 10:07:14,0.116281124497992,2019-05-07
2019-05-07 13:00:43,0.116361445783132,2019-05-07
2019-05-07 14:02:25,0.115723337795627,2019-05-07
2019-05-07 14:15:54,0.121729585006694,2019-05-07
2019-05-07 14:39:02,0.123740294511379,2019-05-07
2019-05-07 15:23:22,0.123094154395359,2019-05-07
2019-05-07 15:56:09,0.123109326193664,2019-05-07
2019-05-07 18:43:51,0.123186970102633,2019-05-07
